Quantum,MeanDelay,MeanSlowdown,50th,99th,50th_sldn,99th_sldn
0.1,620944.1760433207,4.8301216832012805,440843.0471737385,2.2540479749091864e+06,3.5226430291690827,17.81922595992088
1,554437.3139409211,4.325677558580118,407893.8684203625,2.001962706446983e+06,3.262161452890396,15.776990472257614
10,581813.0716007318,4.584563296534533,442203.4406282902,1.9597952993445843e+06,3.53586082464695,15.558420574928284
100,636127.8912370387,4.980379673906465,450112.8359811306,2.8402275142196417e+06,3.6000683687286377,22.434546685896397
1000,596028.7651102348,4.650057602975303,457414.51030015945,2.6109405056495667e+06,3.6569845318927765,20.028901466742514
10000,723758.9876936887,5.6151584095637945,504883.91899335384,3.411009675153494e+06,4.036260948472023,26.864024372745515
100000,560806.1851314498,4.387164190645312,402492.1388309002,2.170147802810192e+06,3.218639231031418,16.91405006817627
1e+06,845026.8381448275,6.654407500514574,599223.8479952812,5.094238694638491e+06,4.785178831443787,40.303833237122056
1e+07,789642.0043570268,6.29775013820173,544503.5932990313,3.2846909293363094e+06,4.352800473148346,26.082309643384935
1e+08,713988.544308096,5.651218693517222,553526.9377055168,2.5208615852378607e+06,4.423443403543472,19.932533579439163
1e+09,824264.2572170476,6.438390347273662,543392.1913969517,3.4785295101344585e+06,4.340952477535724,27.703192629600526
